student_id,UG_institute_tier,UG_branch,UG_percentage,Year_of_passing,GATE_paper,GATE_score,GATE_rank,Category,Work_exp_years,program_id,university_name,dept_specialization,previous_cutoff_gen,previous_cutoff_obc,previous_cutoff_sc,previous_cutoff_st,min_UG_required,university_tier,location_state,difference_from_cutoff,admitted_flag
S0001,Tier-II,ECE,78.52,2021,ECE,26.5,825,OBC,0,P018,NIT_Hyderabad,ECE,29.83,27.83,25.83,24.83,60,NIT,West Bengal,-1.33,0
S0001,Tier-II,ECE,78.52,2021,ECE,26.5,825,OBC,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-0.2,0
S0001,Tier-II,ECE,78.52,2021,ECE,26.5,825,OBC,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,-0.2,0
S0001,Tier-II,ECE,78.52,2021,ECE,26.5,825,OBC,0,P019,State_Pune,ECE,25.37,23.37,21.37,20.37,55,State,Karnataka,3.13,1
S0001,Tier-II,ECE,78.52,2021,ECE,26.5,825,OBC,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,-1.02,0
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,4.33,1
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,4.2,1
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,5.44,1
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,2.12,1
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,10.63,1
S0002,Tier-III,CSE,88.77,2021,CSE,30.9,576,OBC,2,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,3.38,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,14.55,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,14.85,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,19.17,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,11.92,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P018,NIT_Hyderabad,ECE,29.83,27.83,25.83,24.83,60,NIT,West Bengal,11.61,1
S0003,Tier-II,ME,83.24,2022,ME,39.44,156,OBC,2,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,13.98,1
S0004,Tier-II,CE,73.15,2021,CE,25.49,890,OBC,0,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,-3.29,0
S0004,Tier-II,CE,73.15,2021,CE,25.49,890,OBC,0,P013,State_Kanpur,EE,24.14,22.14,20.14,19.14,55,State,Uttar Pradesh,3.35,1
S0004,Tier-II,CE,73.15,2021,CE,25.49,890,OBC,0,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,0.03,0
S0004,Tier-II,CE,73.15,2021,CE,25.49,890,OBC,0,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,1.1,1
S0004,Tier-II,CE,73.15,2021,CE,25.49,890,OBC,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,-2.03,0
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,3.47,1
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,8.07,1
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,1.71,1
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,3.68,1
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-0.39,0
S0005,Tier-II,CE,69.2,2022,CE,32.46,481,OBC,1,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,4.94,1
S0006,Tier-I,ME,69.11,2021,ME,26.86,840,General,1,P019,State_Pune,ECE,25.37,23.37,21.37,20.37,55,State,Karnataka,1.49,1
S0006,Tier-I,ME,69.11,2021,ME,26.86,840,General,1,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,0.47,0
S0006,Tier-I,ME,69.11,2021,ME,26.86,840,General,1,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,-4.13,0
S0006,Tier-I,ME,69.11,2021,ME,26.86,840,General,1,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,-1.71,0
S0007,Tier-III,ECE,78.58,2023,ECE,32.84,548,SC,1,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,10.25,1
S0007,Tier-III,ECE,78.58,2023,ECE,32.84,548,SC,1,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,1.99,1
S0007,Tier-III,ECE,78.58,2023,ECE,32.84,548,SC,1,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,8.14,1
S0007,Tier-III,ECE,78.58,2023,ECE,32.84,548,SC,1,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,4.09,1
S0008,Tier-III,CE,82.34,2023,CE,26.72,763,General,1,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,-1.98,0
S0008,Tier-III,CE,82.34,2023,CE,26.72,763,General,1,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,-1.85,0
